Products,Reactant,Sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,4-dichlorophenol",phenol,"2,4-dichlorophenol (2,4-dcp) is a chlorinated derivative of phenol with the molecular formula c6h4cl2o.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propylene oxide,propylene chlorohydrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phosphorus pentoxide,red phosphorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-calcium pantothenate,(r)-pantolactone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methylene diphenyl diisocyanate,aniline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfur trioxide,sulfur dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potassium perchlorate,sodium perchlorate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrochloric acid,chloromethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc chromate,sodium dichromate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potassium sorbate,crotonaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetone,benzene,"in the cumene process, benzene is alkylated with propylene to produce cumene, which is oxidized by air to produce phenol and acetone:

other processes involve the direct oxidation of propylene (wacker-hoechst process), or the hydration of propylene to give 2-propanol, which is oxidized to acetone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isocyanic acid,cyanuric acid,"c3h3n3o3 ??? 3 hnco
isocyanic acid hydrolyses to carbon dioxide and ammonia:
hnco + h2o ??? co2 + nh3
at sufficiently high concentrations, isocyanic acid oligomerizes to give cyanuric acid and cyamelide, a polymer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-vinylcyclohexene,"1,3-butadiene","4-vinylcyclohexene is an organic compound formed when 1,3-butadiene dimerizes in a diels-alder reaction.","== manufacturing ==
industrially, 4-vinylcyclohexene is manufactured by dimerizing 1,3-butadiene at 110 - 425??c at pressures of 1.3 - 100 mpa over silicon carbide and salts of copper or chromium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxygen,liquid air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanillin,guaiacol,"today, artificial vanillin is made either from guaiacol or lignin.","lignin-based artificial vanilla flavoring is alleged to have a richer flavor profile than oil-based flavoring; the difference is due to the presence of acetovanillone, a minor component in the lignin-derived product that is not found in vanillin synthesized from guaiacol.","in 1876, karl reimer synthesized vanillin (2) from guaiacol (1).","while some vanillin is still made from lignin wastes, most synthetic vanillin is today synthesized in a two-step process from the petrochemical precursors guaiacol and glyoxylic acid.","however, unlike vanillin synthesized from lignin or guaiacol, it can be labeled as a natural flavoring.","counterintuitively, though it uses waste materials, the lignin process is no longer popular because of environmental concerns, and today most vanillin is produced from the petrochemical raw material guaiacol.",several routes exist for synthesizing vanillin from guaiacol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcium sulfate,gypsum,"=== hydration and dehydration reactions ===
with judicious heating, gypsum converts to the partially dehydrated mineral called calcium sulfate hemihydrate, calcined gypsum, and plaster of paris.this material has the formula caso4??(nh2o), where 0.5 ??? n ","== production and occurrence ==
the main sources of calcium sulfate are naturally occurring gypsum and anhydrite, which occur at many locations worldwide as evaporites.","== see also ==
calcium sulfate (data page)
alabaster
anhydrite
bathybius haeckelii
chalk (calcium carbonate)
gypsum
gypsum plaster
phosphogypsum
flue-gas desulfurization


== references ==


== external links ==
international chemical satefy card 1215
nio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chloroprene,"3,4-dichloro-1-butene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl ethyl ketone,2-butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrous oxide,ammonium nitrate,"=== laboratory methods ===
nitrous oxide can be prepared by careful heating of ammonium nitrate, which decomposes into nitrous oxide and water vapour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammonium phosphate,ammonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chloromethyl methyl ether,dimethoxymethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethanol,ethylene,"==== antidote ====
ethanol may be administered as an antidote to methanol and ethylene glycol poisoning.","the triple point for ethanol is 150 k at a pressure of 4.3 ?? 10???4 pa.


=== solvent properties ===
ethanol is a versatile solvent, miscible with water and with many organic solvents, including acetic acid, acetone, benzene, carbon tetrachloride, chloroform, diethyl ether, ethylene glycol, glycerol, nitromethane, pyridine, and toluene.","== production ==

ethanol is produced both as a petrochemical, through the hydration of ethylene and, via biological processes, by fermenting sugars with yeast.","=== ethylene hydration ===
ethanol for use as an industrial feedstock or solvent (sometimes referred to as synthetic ethanol) is made from petrochemical feed stocks, primarily by the acid-catalyzed hydration of ethylene:
c
2h
4 + h
2o ??? ch
3ch
2oh
the c","in an older process, first practiced on the industrial scale in 1930 by union carbide, but now almost entirely obsolete, ethylene was hydrated indirectly by reacting it with concentrated sulfuric acid to produce ethyl sulfate, which was hydrolyzed to yield ethanol and regenerate the sulfuric acid:
c
2h
4 + h
2so
4 ??? ch
3ch
2so
4h
ch
3ch
2so
4h + h
2o ??? ch
3ch
2oh + h
2so
4


=== fermentation ===

ethanol in alcoholic beverages and fuel is produced by fermentation.","== purification ==


=== distillation ===
ethylene hydration or brewing produces an ethanol?€?water mixture.","thus, in 1825 faraday had unwittingly discovered that ethanol could be produced from ethylene (a component of coal gas) by acid-catalyzed hydration, a process similar to current industrial ethanol synthesis.",ethanol intended for industrial use is often produced from ethylene.,"== external links ==
alcohol (ethanol) at the periodic table of videos (university of nottingham)
international labour organization ethanol safety information
national pollutant inventory ?€? ethanol fact sheet
cdc ?€? niosh pocket guide to chemical hazar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrachloroethylene,acetylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-chlorophenol,phenol,"2-chlorophenol or ortho-chlorophenol is an organic compound, a derivative of phenol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isopropyl ether,propene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formamide,carbon monoxide,formamide will begin to partially decompose into carbon monoxide and ammonia at 180 ??c together with traces of hydrogen cyanide (hcn) and water.,"in the presence of solid acid catalysts, formamide yields hcn in high yield:
low temperature: hc(o)nh2 ??? co + nh3
high temperature, acid-catalyzed: hc(o)nh2 ??? hcn + h2o


== production ==


=== historical production ===
in the past, formamide was produced by treating formic acid with ammonia, which produces ammonium formate, which in turn yield formamide upon heating:
hcooh + nh3 ??? hcoonh4
hcoonh4 ??? hconh2 + h2o
formamide is also generated by aminolysis of ethyl formate:
hcooch2ch3 + nh3 ??? hconh2 + ch3ch2oh


=== modern production ===
the current industrial process for the manufacture of formamide involves either the carbonylation of ammonia:
co + nh3 ??? hconh2
an alternative two-stage process involves the aminolysis of methyl formate, which is formed from carbon monoxide and methanol:
co + ch3oh ??? hcooch3
hco2ch3 + nh3 ??? hc(o)nh2 + ch3oh


== applications ==
formamide is used in the industrial production of hydrogen cyanide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorbic acid,crotonaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oleic acid,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myristic acid,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neatsfoot oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandalwood oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-octanone,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gelatin,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pectin,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-limonene,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium alginate,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guar gum,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanolin,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lecithin,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluorapatite,calcium phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricinoleic acid,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium hydroxide,magnesium chloride,magnesium chloride in the sea water is reacted with lime or dolomitic lime to form a precipitated magnesium hydroxide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium chloride,magnesium hydroxide,"in the dow process, magnesium chloride is regenerated from magnesium hydroxide using hydrochloric acid:
mg(oh)2(s) + 2 hcl ??? mgcl2(aq) + 2 h2o(l)
it can also be prepared from magnesium carbonate by a similar reaction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lauric acid,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anethole,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrite,iron (iii) oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chromite,iron (ii) oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcium phosphate,mining/mineral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candelilla wax,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arabic gum,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beeswax,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caffeine,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carnauba wax,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta-alanine,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stearic acid,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sucrose,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selenium,mining/mineral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium carbonate,mining/mineral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decanoic acid,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrogen,air,the element nitrogen was discovered as a separable component of air by scottish physician daniel rutherford in 1772.,"the nitrogen cycle describes movement of the element from the air, into the biosphere and organic compounds, then back into the atmosphere.","== history and etymology ==
the existence of nitrogen is formally considered to have been discovered by scottish physician daniel rutherford in 1772, who called it noxious air.","nitrogen was also studied at about the same time by carl wilhelm scheele, henry cavendish, and joseph priestley, who referred to it as burnt air or phlogisticated air.","nitrogen gas was inert enough that antoine lavoisier referred to it as ""mephitic air"" or azote, from the greek word ????????????? azotos, ""lifeless"".","== production ==

nitrogen gas is an industrial gas produced by the fractional distillation of liquid air, or by mechanical means using gaseous air (i.e., pressurized reverse osmosis membrane or pressure swing adsorption).",commercial nitrogen is often a byproduct of air-processing for industrial concentration of oxygen for steelmaking and other purposes.,"nitrogen also makes a contribution to visible air glow from the earth's upper atmosphere, through electron impact excitation followed by emission.",this visible blue air glow (seen in the polar aurora and in the re-entry glow of returning spacecraft) typically results not from molecular nitrogen but rather from free nitrogen atoms combining with oxygen to form nitric oxide (no).,"== occurrence ==

nitrogen gas (n2) is the largest constituent of earth's atmosphere (78.082% by volume of dry air, 75.3% by weight in dry air).","== applications ==


=== nitrogen gas ===
nitrogen gas has a variety of applications, including serving as an inert replacement for air where oxidation is undesirable;
as a modified atmosphere, pure or mixed with carbon dioxide, to nitrogenate and preserv","however, first the frank?€?caro process for producing cyanamide, and then the haber?€?bosch process for producing ammonia from air and natural gas (developed just before the first world war) eased this shortage of nitrogen compounds, to the extent that half of global food production now relies on synthetic nitrogen fertilizers.","a closed space, initially filled with air, will ultimately contain only nitrogen, carbon dioxide, and trace gases if some oxidative process, such as the rusting of iron, consumes all the oxygen.","nitrogen that evaporates from liquid is still colder and heavier than (oxygenated) air, therefore any spill of liquid nitrogen tends to stay at the bottom of a closed space, expelling oxygen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b12,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin e,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krypton,air,"== historyedit ==

krypton was discovered in britain in 1898 by sir william ramsay, a scottish chemist, and morris travers, an english chemist, in residue left from evaporating nearly all components of liquid air.","krypton has a narcotic potency seven times greater than air, and breathing an atmosphere of 50% krypton and 50% natural air (as might happen in the locality of a leak) causes narcosis in humans similar to breathing air at four times atmospheric pressure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argon,air,argon is produced industrially by the fractional distillation of liquid air.,"== history ==

argon (?€???????????, neuter singular form of ?€???????????, greek meaning ""inactive"", in reference to its chemical inactivity) was suspected to be a component of air by henry cavendish in 1785.","argon was first isolated from air 1894 by lord rayleigh and sir william ramsay at university college london by removing oxygen, carbon dioxide, water, and nitrogen from a sample of clean air.","== occurrence ==
argon constitutes 0.934% by volume and 1.288% by mass of the earth's atmosphere, and air is the primary industrial source of purified argon products.","argon is isolated from air by fractionation, most commonly by cryogenic fractional distillation, a process that also produces purified nitrogen, oxygen, neon, krypton and xenon.","== production ==


=== industrial ===
argon is produced industrially by the fractional distillation of liquid air in a cryogenic air separation unit; a process that separates liquid nitrogen, which boils at 77.3 k, from argon, which boils at 87.3 k, and l",argon is inexpensive since it occurs naturally in air and is readily obtained as a byproduct of cryogenic air separation in the production of liquid oxygen and liquid nitrogen: the primary constituents of air are used on a large industrial scale.,argon is denser than air and displaces oxygen close to the ground during gassing.,"=== preservative ===

argon is used to displace oxygen- and moisture-containing air in packaging material to extend the shelf-lives of the contents (argon has the european food additive code of e938).","argon is sometimes used as the propellant in aerosol cans for such products as varnish, polyurethane, and paint, and to displace air when preparing a container for storage after opening.","== safety ==
although argon is non-toxic, it is 38% denser than air and therefore considered a dangerous asphyxiant in closed areas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
